"","JobCorps_bounds_unweighted","JobCorps_se","JobCorps_ci","JobCorps_ci_ImbensManski","JobCorps_optimal_ci"
"lower_bound",-0.016,0.017,-0.05,-0.044,-0.048
"upper_bound",0.1,0.014,0.128,0.124,0.126
