"","Lee_2009_lb_nonmonotone","Lee_2009_ub_nonmonotone"
"1",-0.043,0.081
"2",0.047,0.062
"3",0.044,0.055
"4",0.059,0.066
"5",0.047,0.081
"6",0.032,0.093
