"","Lee_2009_lb_nonmonotone","Lee_2009_ub_nonmonotone"
"1",-0.081,0.121
"2",0,0.078
"3",-0.021,0.078
"4",-0.018,0.076
"5",-0.014,0.103
"6",-0.016,0.106
