"","Lee_2009_lb_nonmonotone","Lee_2009_ub_nonmonotone"
"1",-0.079,0.075
"2",0.036,0.043
"3",0.036,0.054
"4",0.042,0.067
"5",0.021,0.074
"6",0.016,0.087
