"","V1","V2","V3","V4"
"1",-0.096,0.168,-0.096,0.155
"2",0.012,0.081,0.011,0.073
"3",-0.012,0.095,-0.007,0.079
"4",-0.037,0.109,-0.028,0.1
"5",-0.06,0.109,-0.044,0.104
"6",-0.047,0.117,-0.039,0.107
