"","Lee_2009_lb_nonmonotone","Lee_2009_ub_nonmonotone"
"1",-0.036,0.037
"2",-0.039,0.037
"3",-0.056,0.051
"4",-0.053,0.042
"5",-0.047,0.044
"6",-0.047,0.044
