"","Lee_2009_lb_nonmonotone","Lee_2009_ub_nonmonotone","OrthoLee_28_lb","OrthoLee_28_ub","OrthoLee_28_lb2","OrthoLee_28_ub2"
"1",-0.114,0.173,-0.129,0.183,-0.135,0.179
"2",-0.045,0.134,-0.076,0.151,-0.033,0.123
"3",-0.062,0.14,-0.102,0.175,-0.106,0.17
"4",-0.059,0.132,-0.079,0.144,-0.067,0.144
"5",-0.076,0.132,-0.091,0.156,-0.104,0.156
"6",-0.052,0.121,-0.07,0.145,-0.069,0.14
