"","Lee_2009_lb_nonmonotone","Lee_2009_ub_nonmonotone"
"1",-0.048,0.087
"2",0.04,0.045
"3",0.032,0.027
"4",0.03,0.037
"5",0.033,0.063
"6",0.03,0.065
