"","weeks","lb_positive","ub_positive","fraction"
"1",5,0.0899470432964768,0.264427329435675,0.17009694250808
"2",6,0.0879239201641098,0.266555785940226,0.147351780763881
"3",7,0.0983430372438077,0.266423307936327,0.129797105846253
"4",8,0.0660365497225719,0.266012982953204,0.11678110722145
"5",9,0.0501675183876811,0.214591513742707,0.0779661912754653
"6",10,0.0474098813500196,0.199459316854065,0.0715245923960908
"7",11,0.0433888835159891,0.186466703380197,0.0555420616175106
"8",12,0.0443293103138522,0.203544886200219,0.0584736216401587
"9",13,0.0538070031883026,0.236192673166022,0.0668473730114166
"10",14,0.0551754081011726,0.251859526275405,0.0707855280060259
"11",15,0.0511043990540424,0.225961397638315,0.047582066031968
"12",16,0.0496953988838931,0.218853140913971,0.0347232828468749
"13",17,0.0751941606054145,0.211281357009522,0.0874324128361914
"14",18,0.082543786455216,0.243634133810818,0.0812562456811889
"15",19,0.075330603136832,0.211788512344032,0.0783074289568823
"16",20,0.0494140672375186,0.201268121187184,0.0639313343435138
"17",21,0.0426461906264209,0.179233122315129,0.0565333253702102
"18",22,0.0429425004303517,0.195622435970049,0.0624764437468202
"19",23,0.0564822840081484,0.212804554815013,0.0857689708734555
"20",24,0.0588742299437044,0.218926953845646,0.0980958077514195
"21",25,0.0598611802956238,0.206877761831881,0.0841277089179006
"22",26,0.0683926561710289,0.211471294612548,0.112965151442961
"23",27,0.0764320514978077,0.223256168945187,0.0885513286295967
"24",28,0.070242433528366,0.211826411302492,0.0992254134882922
"25",29,0.065626281661763,0.208763381858999,0.111388577974512
"26",30,0.063360526612661,0.194589849735968,0.149753408668848
"27",31,0.0555253477919032,0.1960281394274,0.15150673094713
"28",32,0.0546709133212339,0.200552580595659,0.158809082323544
"29",33,0.0689128200083965,0.195471044833486,0.164077771768599
"30",34,0.0581215057030321,0.188241984166584,0.135857839123158
"31",35,0.0553387826563163,0.188684606708223,0.140072334236842
"32",36,0.055573486439549,0.198633613950331,0.148829068187477
"33",37,0.0511925844512393,0.203470863250392,0.14517422562773
"34",38,0.0481239959509505,0.206091277218747,0.154825953416665
"35",39,0.04911675571418,0.205999796758275,0.146472197319219
"36",40,0.0491424211767148,0.191380390328682,0.138535494425842
"37",41,0.0618402404981444,0.200967406393845,0.163705638141517
"38",42,0.0601366844456287,0.199606667816967,0.153395486361313
"39",43,0.0691692255528485,0.209907965825619,0.179378051658096
"40",44,0.0618072647244105,0.213379743342193,0.194847998682808
"41",45,0.0587339349276874,0.199754710284417,0.201895678502422
"42",46,0.0582686908473645,0.19922591336198,0.200253215708543
"43",47,0.0567705671764604,0.207270140436735,0.204116617927828
"44",48,0.0603466810987723,0.208811065172872,0.186123561892404
"45",49,0.0547734008503074,0.213755430877974,0.15601290012931
"46",50,0.0564957095427173,0.195007178766867,0.190228498482726
"47",51,0.0512062480698972,0.193649690373279,0.198119938571367
"48",52,0.0503085172174303,0.184806855021134,0.1858942326029
"49",53,0.0497387075481385,0.197845433681053,0.151911362395066
"50",54,0.0478556030893306,0.178001062206818,0.193079623843334
"51",55,0.0519733828150894,0.178075006210204,0.182669674873847
"52",56,0.0588948850529715,0.175412385701063,0.209254413748801
"53",57,0.0467935121525186,0.160782600720804,0.233588291378944
