"","weeks","fraction"
"1",1,0
"2",2,0
"3",3,0
"4",4,0
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"9",9,0
"10",10,0.0212137780207764
"11",11,0.0184800437397485
"12",12,0.0200109349371241
"13",13,0.0203389830508475
"14",14,0.023728813559322
"15",15,0.0262438490978677
"16",16,0.0252597047566976
"17",17,0.0259158009841443
"18",18,0.0195735374521596
"19",19,0.0212137780207764
"20",20,0.0214324767632586
"21",21,0.0176052487698196
"22",22,0.0194641880809185
"23",23,0.002843083652269
"24",24,0.00535811919081465
"25",25,0.0177145981410607
"26",26,0.0157463094587206
"27",27,0.00831055221432477
"28",28,0.00317113176599235
"29",29,0.0330235101148168
"30",30,0.0324767632586113
"31",31,0.0466921815199563
"32",32,0.0371787862219792
"33",33,0.0520503007107709
"34",34,0.0451612903225806
"35",35,0.0490978676872608
"36",36,0.0412247129579005
"37",37,0.0506287588846364
"38",38,0.0633132859486058
"39",39,0.0655002733734281
"40",40,0.0651722252597048
"41",41,0.0849644614543466
"42",42,0.0728266812465828
"43",43,0.0917441224712958
"44",44,0.121377802077638
"45",45,0.141826134499727
"46",46,0.0871514488791689
"47",47,0.10683433570257
"48",48,0.111645708037179
"49",49,0.111973756150902
"50",50,0.139529797703663
"51",51,0.114488791689448
"52",52,0.128813559322034
"53",53,0.145544013121925
"54",54,0.110442864953527
"55",55,0.138436303991252
"56",56,0.189502460360853
"57",57,0.173756150902132
"58",58,0.199781301257518
"59",59,0.328485511208311
"60",60,0.34117003827228
"61",61,0.341826134499727
"62",62,0.304647348277747
"63",63,0.265062875888464
"64",64,0.291853471842537
"65",65,0.28135593220339
"66",66,0.32159650082012
"67",67,0.293056314926189
"68",68,0.31864406779661
"69",69,0.292946965554948
"70",70,0.328485511208311
"71",71,0.276544559868781
"72",72,0.343794423182067
"73",73,0.307709130672499
"74",74,0.339639147074904
"75",75,0.339311098961181
"76",76,0.316347731000547
"77",77,0.314816839803171
"78",78,0.305194095133953
"79",79,0.37648988518316
"80",80,0.295352651722253
"81",81,0.579332968835429
"82",82,0.593220338983051
"83",83,0.573646801530891
"84",84,0.559978130125752
"85",85,0.589283761618371
"86",86,0.565554948059049
"87",87,0.615527610716238
"88",88,0.637834882449426
"89",89,0.675560415527611
"90",90,0.858283214871514
"91",91,0.854455986878075
"92",92,0.699507927829415
"93",93,0.881574630945872
"94",94,0.903991252050301
"95",95,0.255330781848004
"96",96,0.923346090759978
"97",97,0.679496992892291
"98",98,0.970147621651176
"99",99,0.970147621651176
"100",100,0.628868234007654
"101",101,0.713832695462001
"102",102,0.608966648441772
"103",103,0.609513395297977
"104",104,0.310224166211044
"105",105,0.63236741388737
"106",106,0.989830508474576
"107",107,0.56468015308912
"108",108,0.47643521049754
"109",109,0.455330781848004
"110",110,0.740295243302351
"111",111,0.624931656642974
"112",112,0.481793329688354
"113",113,0.630836522689995
"114",114,0.654784034991799
"115",115,0.622744669218152
"116",116,0.590049207217058
"117",117,0.622197922361946
"118",118,0.59114270092947
"119",119,0.746856205576818
"120",120,0.795516675779114
"121",121,0.526079825041006
"122",122,0.521268452706397
"123",123,0.595407326407873
"124",124,0.930016402405686
"125",125,0.834882449425916
"126",126,0.829305631492619
"127",127,0.892618917441225
"128",128,0.742810278840897
"129",129,0.718753417167851
"130",130,0.78239475123018
"131",131,0.758993985784582
"132",132,0.826134499726627
"133",133,0.718097320940405
"134",134,0.790924002186987
"135",135,0.760306178239475
"136",136,0.605467468562056
"137",137,0.914598141060689
"138",138,0.784472389283762
"139",139,0.762383816293056
"140",140,0.756260251503554
"141",141,0.73920174958994
"142",142,0.740295243302351
"143",143,0.770475669764899
"144",144,0.771022416621104
"145",145,0.738545653362493
"146",146,0.641224712957901
"147",147,0.70486604702023
"148",148,0.744450519409513
"149",149,0.759322033898305
"150",150,0.772772006560962
"151",151,0.663531984691088
"152",152,0.667359212684527
"153",153,0.791252050300711
"154",154,0.869218151995626
"155",155,0.818698742482231
"156",156,0.813559322033898
"157",157,0.870749043193002
"158",158,0.891525423728814
"159",159,0.854127938764352
"160",160,0.873920174958994
"161",161,0.869108802624385
"162",162,0.842646254784035
"163",163,0.929579004920722
"164",164,0.834663750683434
"165",165,0.819901585565883
"166",166,0.829305631492619
"167",167,0.94412247129579
"168",168,0.843849097867687
"169",169,0.907271733187534
"170",170,0.924767632586113
"171",171,0.922908693275014
"172",172,0.923018042646255
"173",173,0.847238928376162
"174",174,0.929797703663204
"175",175,0.810497539639147
"176",176,0.83039912520503
"177",177,0.855330781848004
"178",178,0.873920174958994
"179",179,0.817823947512302
"180",180,0.855002733734281
"181",181,0.818698742482231
"182",182,0.81858939311099
"183",183,0.827556041552761
"184",184,0.882230727173319
"185",185,0.870311645708037
"186",186,0.839912520503007
"187",187,0.844505194095134
"188",188,0.849644614543466
"189",189,0.903116457080372
"190",190,0.810606889010388
"191",191,0.787971569163477
"192",192,0.779114270092947
"193",193,0.828758884636413
"194",194,0.824384909786769
"195",195,0.79901585565883
"196",196,0.786550027337343
"197",197,0.811262985237835
"198",198,0.778348824494259
"199",199,0.793985784581739
"200",200,0.911208310552214
"201",201,0.913504647348278
"202",202,0.747512301804265
"203",203,0.785565882996173
"204",204,0.776271186440678
"205",205,0.8313832695462
"206",206,0.828758884636413
"207",207,0.859923455440131
"208",208,0.75494805904866
