"","weeks","frac_positive","lb_positive_week","ub_positive_week","lb_positive","ub_positive"
"1",5,0.0648441771459814,-0.0812224684949283,0.140305082393796,-0.0893148887068522,0.114038751355841
"2",6,0.0486604702022963,-0.0933552284599528,0.120218158704731,-0.0961510742989476,0.0948841447784762
"3",7,0.0405686167304538,-0.124575526507759,0.138740743770855,-0.0961283213545007,0.108635167955665
"4",8,0.0380535811919081,-0.120192918819593,0.125527013257085,-0.110146619051084,0.105879554293048
"5",9,0.0286495352651722,-0.155966992890728,0.191807839852519,-0.142972833840908,0.161293751416654
"6",10,0.0285401858939311,-0.101112374791372,0.138643407523933,-0.096185986252935,0.103373685222048
"7",11,0.0238381629305632,-0.180433051473002,0.174636713152847,-0.125268737500965,0.108768351148242
"8",12,0.0242755604155276,-0.105281222823288,0.160931458065907,-0.0530688337151634,0.0994982183973678
"9",13,0.0306178239475123,-0.127108023672704,0.122780405160775,-0.0856842369124274,0.10244737653149
"10",14,0.0282121377802078,-0.119069861378656,0.132723180778995,-0.0818468400052321,0.111363082953974
"11",15,0.0356478950246036,-0.119940181418241,0.148034351856858,-0.0761515066733711,0.124741613268044
"12",16,0.0338983050847458,-0.121940403524697,0.146964193301365,-0.0848992843891231,0.125081429678737
"13",17,0.0357572443958447,-0.139256622017426,0.177572547719209,-0.102766434529856,0.164880838364277
"14",18,0.0361946418808092,-0.0956350217358403,0.1517543258955,-0.0741981844076489,0.134022519314849
"15",19,0.0329141607435757,-0.142525916341721,0.175859982989435,-0.0831869680503882,0.156681217992389
"16",20,0.033132859486058,-0.153789669019276,0.178074891183869,-0.102062000463768,0.156524921718922
"17",21,0.0239475123018043,-0.124261884713278,0.130465652945526,-0.0735329281547049,0.0972944806525063
"18",22,0.0278840896664844,-0.0970425080378944,0.0948422924741931,-0.0654814295810194,0.0600485883184072
"19",23,0.0378348824494259,-0.0825417525923043,0.129332128261701,-0.0601705912443223,0.10929562895014
"20",24,0.0422088572990705,-0.0735790636728847,0.131414989728515,-0.0473644948946721,0.117236810446565
"21",25,0.0428649535265172,-0.126686578254826,0.133539030363442,-0.0943952996935002,0.108087509782776
"22",26,0.0531437944231821,-0.122261215733356,0.142940004360543,-0.101925173556225,0.122374638769909
"23",27,0.0395844723892838,-0.137528535032349,0.147495472743423,-0.126110261483422,0.120273522759993
"24",28,0.0450519409513395,-0.133428193425964,0.144124153371933,-0.108468838607378,0.106286788769883
"25",29,0.0539092400218699,-0.10407555375403,0.150251528210301,-0.0935426619135879,0.121091190759517
"26",30,0.0532531437944232,-0.086947328394422,0.134306616380148,-0.0849897186859586,0.124195030123797
"27",31,0.0531437944231821,-0.0820512808572647,0.137776891597443,-0.0868126479160919,0.124776324755392
"28",32,0.0532531437944232,-0.082470948929647,0.150643412895243,-0.0665326627079189,0.13086024188059
"29",33,0.0707490431930016,-0.0987876570205471,0.112560586053974,-0.0813874572868598,0.102439972083004
"30",34,0.0642974302897758,-0.0656369431972806,0.113711281290908,-0.0481250245833274,0.0940840136942448
"31",35,0.0719518862766539,-0.0977034158483823,0.122406889142132,-0.0991685468840499,0.109041523389524
"32",36,0.0652815746309459,-0.0808336521442101,0.0979816250359855,-0.0708100968857853,0.0895579038333695
"33",37,0.0554401312192455,-0.0898768336941643,0.122294822892938,-0.0760835798174768,0.114301194484343
"34",38,0.0633132859486058,-0.0782501094826391,0.121100883477462,-0.0702420341183307,0.104925758917019
"35",39,0.0634226353198469,-0.0679840838146493,0.0771100535878681,-0.0598688260380462,0.0713281494497402
"36",40,0.0684527063969382,-0.0773119432160767,0.0714931695445153,-0.0711231909321246,0.0738801224625306
"37",41,0.0732640787315473,-0.0733724576735748,0.0708598354502386,-0.0690730150229065,0.0694356483245379
"38",42,0.0707490431930016,-0.0599047793991019,0.0726325664163163,-0.065099219184639,0.0801161852241588
"39",43,0.0873701476216512,-0.0465230878597371,0.0729077848322468,-0.0299558013227799,0.0605376444890929
"40",44,0.0882449425915801,-0.0636137380352086,0.111179959486151,-0.0351758433053213,0.0960509094781942
"41",45,0.0826681246582832,-0.0691855086118713,0.139789017263352,-0.0691855086118713,0.139789017263352
"42",46,0.0721705850191361,-0.0881034063010844,0.103158487104906,-0.0567601890776063,0.0969056049108095
"43",47,0.0768726079825041,-0.0622283326217536,0.0802928481878375,-0.0362527294186432,0.083803756883854
"44",48,0.0781848004373975,-0.0699702650229151,0.111097828847164,-0.0531412749966953,0.0962017378026992
"45",49,0.0769819573537452,-0.0912721836472671,0.119293682356824,-0.0754776985092545,0.11550649957597
"46",50,0.0841990158556588,-0.0494879783647001,0.0928322376917015,-0.03079634829228,0.0877585434156721
"47",51,0.0833242208857299,-0.0533336407161758,0.0907126410896074,-0.0296160488371812,0.0822250445663547
"48",52,0.0867140513942045,-0.0451383442554744,0.0659736582927394,-0.0268592605737063,0.0645781899290662
"49",53,0.0850738108255878,-0.0578614907416602,0.0706711329369858,-0.0389303720871732,0.0611481220677201
"50",54,0.0997266265718972,-0.0779776550488123,0.0926255238382619,-0.0633318185853536,0.0946280551030624
"51",55,0.0893384363039913,-0.0850337993137758,0.114574710505765,-0.0695838544951217,0.105722741212104
"52",56,0.0640787315472936,-0.0637844787339706,0.0886430623489013,-0.0617461979849928,0.100006887186554
"53",57,0.0774193548387097,-0.08108752399224,0.104189310454742,-0.0583841912987128,0.081203345030786
"54",58,0.096664844177146,-0.0678751995514001,0.0950961367922942,-0.0550088968827025,0.0847509986334375
"55",59,0.102132312739202,-0.06310119376335,0.107665466724743,-0.0426505092525637,0.100640554585209
"56",60,0.227993439037726,-0.0458370635850203,0.104878419542061,-0.0328583597000023,0.0841312071515357
"57",61,0.240349917987972,-0.0452030086309036,0.133983405756042,-0.0538297116870316,0.098225344515207
"58",62,0.240021869874248,-0.00268674539425217,0.106501024273802,-0.0488509180465616,0.0887061369881781
"59",63,0.245379989065063,-0.00761757839296008,0.0868884334163723,-0.0473108630137668,0.0794007053819066
"60",64,0.282996172772007,0.016103199934339,0.0925502711991079,-0.0202951984330814,0.0948917547119534
"61",65,0.266156369600875,0.00874665490402785,0.104544412505706,-0.0221612821374384,0.0881458267942034
"62",66,0.312083105522143,-0.0148547847387378,0.138805316386168,-0.0287652941854561,0.104933020761838
"63",67,0.285511208310552,-0.0107452372559902,0.117720434283923,-0.0268851066018051,0.103315625079264
"64",68,0.289447785675232,-0.0139028491823742,0.122531465658078,-0.0165727796721292,0.0992717917693954
"65",69,0.304756697648988,0.000740137293662478,0.109599248648003,-0.013194261425735,0.11488457979863
"66",70,0.308911973756151,-0.000973336363381453,0.110011766467062,-0.00685453734495366,0.100049477469609
