"","weeks","fraction"
"1",1,0.319300164024057
"2",2,0.13329688354292
"3",3,0.073920174958994
"4",4,0.0488791689447786
"5",5,0.049316566429743
"6",6,0.0531437944231821
"7",7,0.0648441771459814
"8",8,0.0447238928376162
"9",9,0.0392564242755604
"10",10,0.0442864953526517
"11",11,0.038819026790596
"12",12,0.0411153635866594
"13",13,0.0616730453799891
"14",14,0.062547840349918
"15",15,0.0487698195735375
"16",16,0.0358665937670858
"17",17,0.0595954073264079
"18",18,0.0638600328048114
"19",19,0.0609075997813013
"20",20,0.0524876981957354
"21",21,0.0524876981957354
"22",22,0.0393657736468015
"23",23,0.0583925642427556
"24",24,0.0618917441224713
"25",25,0.0459267359212685
"26",26,0.0721705850191361
"27",27,0.072061235647895
"28",28,0.0904319300164024
"29",29,0.0819026790595954
"30",30,0.107381082558775
"31",31,0.103772553307818
"32",32,0.127063969382176
"33",33,0.145215965008201
"34",34,0.117550574084199
"35",35,0.103335155822854
"36",36,0.126079825041006
"37",37,0.134390377255331
"38",38,0.12356478950246
"39",39,0.131547293603062
"40",40,0.166757791142701
"41",41,0.180317113176599
"42",42,0.170475669764899
"43",43,0.190595954073264
"44",44,0.205686167304538
"45",45,0.216402405686167
"46",46,0.21082558775287
"47",47,0.208201202843084
"48",48,0.226899945325314
"49",49,0.23236741388737
"50",50,0.256971022416621
"51",51,0.243193001640241
"52",52,0.239693821760525
"53",53,0.269764898851832
"54",54,0.305631492618917
"55",55,0.298523783488245
"56",56,0.301476216511755
"57",57,0.345215965008201
"58",58,0.349808638600328
"59",59,0.350136686714051
"60",60,0.39311098961181
"61",61,0.401093493712411
"62",62,0.406670311645708
"63",63,0.37648988518316
"64",64,0.377911427009295
"65",65,0.38917441224713
"66",66,0.389283761618371
"67",67,0.378676872607982
"68",68,0.379770366320394
"69",69,0.399562602515036
"70",70,0.415308911973756
"71",71,0.411044286495353
"72",72,0.415965008201203
"73",73,0.410716238381629
"74",74,0.413231273920175
"75",75,0.410060142154183
"76",76,0.404155276107162
"77",77,0.421323127392017
"78",78,0.421104428649535
"79",79,0.439693821760525
"80",80,0.420885729907053
"81",81,0.441552761071624
"82",82,0.448441771459814
"83",83,0.453034445051941
"84",84,0.476653909240022
"85",85,0.48627665390924
"86",86,0.487916894477857
"87",87,0.468999453253144
"88",88,0.478950246036085
"89",89,0.494040459267359
"90",90,0.528157463094587
"91",91,0.563149261891744
"92",92,0.59704756697649
"93",93,0.581301257517769
"94",94,0.566211044286495
"95",95,0.56369600874795
"96",96,0.56763258611263
"97",97,0.573318753417168
"98",98,0.555822854018589
"99",99,0.567523236741389
"100",100,0.575615090213231
"101",101,0.601530891197376
"102",102,0.610716238381629
"103",103,0.623838162930563
"104",104,0.58917441224713
"105",105,0.606014215418261
"106",106,0.598359759431383
"107",107,0.604155276107162
"108",108,0.60787315472936
"109",109,0.596719518862767
"110",110,0.626243849097868
"111",111,0.607217058501914
"112",112,0.581957353745216
"113",113,0.593439037725533
"114",114,0.63925642427556
"115",115,0.631055221432477
"116",116,0.645598687807545
"117",117,0.664516129032258
"118",118,0.667905959540733
"119",119,0.671623838162931
"120",120,0.679606342263532
"121",121,0.686386003280481
"122",122,0.6843083652269
"123",123,0.683433570256971
"124",124,0.679825041006014
"125",125,0.655330781848004
"126",126,0.664406779661017
"127",127,0.645926735921268
"128",128,0.638490978676873
"129",129,0.651175505740842
"130",130,0.656205576817933
"131",131,0.654565336249317
"132",132,0.662547840349918
"133",133,0.693493712411154
"134",134,0.681246582832149
"135",135,0.68824494259158
"136",136,0.668780754510662
"137",137,0.680918534718425
"138",138,0.659595407326408
"139",139,0.661126298523783
"140",140,0.655112083105522
"141",141,0.644833242208857
"142",142,0.632586112629852
"143",143,0.649207217058502
"144",144,0.621869874248223
"145",145,0.641115363586659
"146",146,0.622416621104429
"147",147,0.612137780207764
"148",148,0.615636960087479
"149",149,0.62547840349918
"150",150,0.645926735921268
"151",151,0.648113723346091
"152",152,0.677747402952433
"153",153,0.688572990705303
"154",154,0.690869327501367
"155",155,0.67545106615637
"156",156,0.701804264625478
"157",157,0.705631492618917
"158",158,0.712083105522143
"159",159,0.722252597047567
"160",160,0.714926189174412
"161",161,0.723892837616184
"162",162,0.711536358665938
"163",163,0.706943685073811
"164",164,0.697648988518316
"165",165,0.671733187534172
"166",166,0.685620557681793
"167",167,0.709677419354839
"168",168,0.733515582285402
"169",169,0.714926189174412
"170",170,0.705631492618917
"171",171,0.707162383816293
"172",172,0.704100601421542
"173",173,0.699945325314379
"174",174,0.704975396391471
"175",175,0.695352651722253
"176",176,0.714051394204483
"177",177,0.718972115910333
"178",178,0.719956260251503
"179",179,0.699507927829415
"180",180,0.693384363039912
"181",181,0.685729907053034
"182",182,0.693821760524877
"183",183,0.711536358665938
"184",184,0.734171678512849
"185",185,0.750355385456534
"186",186,0.743794423182067
"187",187,0.730672498633133
"188",188,0.709240021869874
"189",189,0.700054674685621
"190",190,0.692400218698742
"191",191,0.684855112083106
"192",192,0.696883542919628
"193",193,0.705303444505194
"194",194,0.696446145434664
"195",195,0.679825041006014
"196",196,0.690759978130126
"197",197,0.689447785675232
"198",198,0.699398578458174
"199",199,0.715472936030618
"200",200,0.712848551120831
"201",201,0.728813559322034
"202",202,0.721705850191361
"203",203,0.720065609622745
"204",204,0.726517222525971
"205",205,0.721705850191361
"206",206,0.754182613449973
"207",207,0.753854565336249
"208",208,0.708911973756151
