"","weeks","lb_positive","ub_positive"
"1",5,-0.0804931464104495,0.198874235148578
"2",6,-0.0789175378969663,0.10203073534819
"3",7,-0.103876801507559,0.158787447112166
"4",8,-0.126461544086478,0.147446379386056
"5",9,-0.134723545375513,0.199777918513219
"6",10,-0.113368869723809,0.119566123669138
"7",11,-0.141151439758684,0.112546411055321
"8",12,-0.0837574176585859,0.0932128614348643
"9",13,-0.12144839094403,0.12068483275915
"10",14,-0.0971758477305668,0.12287073983616
"11",15,-0.0724096095097213,0.133502178754386
"12",16,-0.08176563287158,0.113080232101014
"13",17,-0.135164412618873,0.162443244600207
"14",18,-0.0691050828895386,0.115680214712634
"15",19,-0.074822775656423,0.15522180516707
"16",20,-0.0988092309830718,0.134020988482877
"17",21,-0.0691317190353727,0.110237470607786
"18",22,-0.0523034813009317,0.105696463613015
"19",23,-0.0521321853642876,0.150069725564399
"20",24,-0.0618049857453443,0.174906942077646
"21",25,-0.103903155093636,0.139284218757779
"22",26,-0.127633633951526,0.181761908655244
"23",27,-0.120369521312544,0.153120848133112
"24",28,-0.108072891634997,0.146620718213524
"25",29,-0.0868632513085447,0.161779242864015
"26",30,-0.0700040106532353,0.159443554656435
"27",31,-0.0684189795594497,0.161587107035688
"28",32,-0.0676447055857354,0.180411751906143
"29",33,-0.0486356439795661,0.131787745819631
"30",34,-0.0325955093510336,0.132940107894505
"31",35,-0.0735429094199541,0.123349747941931
"32",36,-0.0364497340091854,0.116001290865443
"33",37,-0.0369197072260961,0.123273149942682
"34",38,-0.0234946315299691,0.110608784695458
"35",39,-0.0247433818722405,0.0899620530873552
"36",40,-0.032551260800223,0.0697760605581937
"37",41,-0.0120625448169637,0.0473097353906905
"38",42,-0.0344816289686602,0.0531951073398083
"39",43,-0.00544070065648918,0.0335781856642988
"40",44,-0.0245576414180201,0.0827715662478323
"41",45,-0.0203946125603156,0.0955860801698499
"42",46,-0.0313255905397313,0.0949432004439265
"43",47,-0.0385017416687865,0.0751297169444116
"44",48,-0.0491514923827941,0.0755757445376229
"45",49,-0.0737934495953879,0.109554628758454
"46",50,-0.0254264877406494,0.0671236508140049
"47",51,-0.0518113115322307,0.0829070873246638
"48",52,-0.0286339862994758,0.0750084078660994
"49",53,-0.0234834331469459,0.0742396994350968
"50",54,-0.0559294543882955,0.0893799992551187
"51",55,-0.0760670013136052,0.110593823952822
"52",56,-0.038156013167877,0.0753292196437459
"53",57,-0.0446391543443078,0.0590655836197134
"54",58,-0.028460085683101,0.0551773459756152
