"","weeks","bound","group"
"1",5,1.52178204528564,0
"2",6,1.50281831815679,0
"3",7,1.47417817803533,0
"4",8,1.5290834424941,0
"5",9,1.55267907885473,0
"6",10,1.55715434053894,0
"7",11,1.55469503723406,0
"8",12,1.54396683326103,0
"9",13,1.47335799581936,0
"10",14,1.47799638770747,0
"11",15,1.53109232295532,0
"12",16,1.51567302225028,0
"13",17,1.55893651900127,0
"14",18,1.51626245745517,0
"15",19,1.53408578688346,0
"16",20,1.56495168315165,0
"17",21,1.5818181362734,0
"18",22,1.59712405172031,0
"19",23,1.62865952319643,0
"20",24,1.60820812750281,0
"21",25,1.64945293892787,0
"22",26,1.59905623280534,0
"23",27,1.62359832402055,0
"24",28,1.60364473174533,0
"25",29,1.6092502761361,0
"26",30,1.63294555785226,0
"27",31,1.601327661963,0
"28",32,1.60239114436022,0
"29",33,1.53886552253818,0
"30",34,1.52977120235843,0
"31",35,1.56145266387492,0
"32",36,1.53398524039442,0
"33",37,1.53381118274696,0
"34",38,1.57603598141412,0
"35",39,1.60262324381412,0
"36",40,1.64535729853446,0
"37",41,1.63024178461655,0
"38",42,1.64065044110018,0
"39",43,1.61390414944311,0
"40",44,1.66063495464653,0
"41",45,1.68043553973151,0
"42",46,1.69605272946748,0
"43",47,1.73948496847475,0
"44",48,1.71274838852951,0
"45",49,1.66455783265907,0
"46",50,1.64451539505356,0
"47",51,1.73939353723055,0
"48",52,1.73435818876795,0
"49",53,1.72815073779587,0
"50",54,1.7198165628954,0
"51",55,1.70208998492687,0
"52",56,1.69532795385786,0
"53",57,1.72847565199071,0
"54",58,1.68642000217169,0
"55",59,1.74629034179009,0
"56",60,1.76460725047121,0
"57",61,1.76771343704464,0
"58",62,1.7916868695021,0
"59",63,1.74778972433275,0
"60",64,1.72094367172377,0
"61",65,1.77961516677762,0
"62",66,1.80118100336107,0
"63",67,1.82775046475206,0
"64",68,1.8212643294284,0
"65",69,1.82750099098638,0
"66",70,1.83522763046261,0
"67",71,1.82652808906523,0
"68",72,1.83191204141703,0
"69",73,1.8127584407758,0
"70",74,1.76408009108808,0
"71",75,1.72801354799139,0
"72",76,1.73274144911342,0
"73",77,1.7488189107808,0
"74",78,1.77407363761174,0
"75",79,1.76573794390427,0
"76",80,1.8305503906794,0
"77",81,1.81815740372351,0
"78",82,1.85561529370355,0
"79",83,1.88418066576328,0
"80",84,1.78500645373543,0
"81",85,1.81864072713623,0
"82",86,1.82372646990188,0
"83",87,1.79495005994401,0
"84",88,1.8028467876594,0
"85",89,1.80397760482003,0
"86",90,1.83118354663881,0
"87",91,1.82741721641556,0
"88",92,1.83698257746944,0
"89",93,1.87895801586963,0
"90",94,1.86362791774842,0
"91",95,1.84956909794139,0
"92",96,1.84177934941912,0
"93",97,1.84552669704857,0
"94",98,1.90327313934711,0
"95",99,1.88154913960396,0
"96",100,1.8398996524587,0
"97",101,1.8300684248234,0
"98",102,1.84239669472058,0
"99",103,1.86919934996198,0
"100",104,1.94088783251903,0
"101",105,1.90962981898126,0
"102",106,1.89714920892366,0
"103",107,1.87750658631569,0
"104",108,1.90816884301921,0
"105",109,1.90509205341505,0
"106",110,1.91132355670642,0
"107",111,1.88930714713473,0
"108",112,1.84782140386424,0
"109",113,1.8263356735277,0
"110",114,1.890536631824,0
"111",115,1.89449640021017,0
"112",116,1.91215483792845,0
"113",117,1.92277546056375,0
"114",118,1.88226080254538,0
"115",119,1.86105893634041,0
