"","weeks","bound","group"
"1",5,1.54431772165903,0
"2",6,1.53602312463653,0
"3",7,1.55819059747545,0
"4",8,1.5243217219181,0
"5",9,1.48177399671631,0
"6",10,1.4881453835779,0
"7",11,1.49026454563338,0
"8",12,1.49790247505404,0
"9",13,1.51827671977147,0
"10",14,1.52068549592866,0
"11",15,1.50542011927055,0
"12",16,1.53384727892924,0
"13",17,1.52349613520916,0
"14",18,1.55375271200174,0
"15",19,1.55816023712724,0
"16",20,1.53713427523007,0
"17",21,1.54761297605176,0
"18",22,1.55729731015962,0
"19",23,1.55170997126066,0
"20",24,1.56882949796634,0
"21",25,1.54812965805004,0
"22",26,1.57995788829125,0
"23",27,1.58251791242501,0
"24",28,1.58901223111193,0
"25",29,1.59762394879426,0
"26",30,1.59024919924481,0
"27",31,1.59828283057495,0
"28",32,1.6028228460959,0
"29",33,1.61432485760505,0
"30",34,1.61017730082032,0
"31",35,1.60611008653938,0
"32",36,1.61369206800058,0
"33",37,1.6206705431872,0
"34",38,1.61390462599883,0
"35",39,1.62447550209051,0
"36",40,1.6198533907004,0
"37",41,1.6191518983438,0
"38",42,1.61933901900508,0
"39",43,1.61814960233041,0
"40",44,1.62585187127389,0
"41",45,1.62552313323157,0
"42",46,1.62725187375006,0
"43",47,1.62036391455652,0
"44",48,1.62692514943344,0
"45",49,1.63937458998932,0
"46",50,1.6529445217406,0
"47",51,1.63879042530819,0
"48",52,1.64843926130978,0
"49",53,1.65962399482057,0
"50",54,1.67654290779314,0
"51",55,1.69695949206623,0
"52",56,1.71057572515267,0
"53",57,1.71967256506687,0
"54",58,1.74023510152025,0
"55",59,1.73254519896957,0
"56",60,1.74337735243763,0
"57",61,1.75779837299154,0
"58",62,1.75243772287651,0
"59",63,1.76149268248092,0
"60",64,1.77040106485626,0
"61",65,1.75728836320748,0
"62",66,1.75070216701842,0
"63",67,1.75604865472535,0
"64",68,1.7620853112235,0
"65",69,1.76117338615128,0
"66",70,1.75956304294554,0
"67",71,1.76860392239621,0
"68",72,1.77658694381768,0
"69",73,1.77682768916354,0
"70",74,1.79582510714394,0
"71",75,1.78970501157184,0
"72",76,1.78264432605326,0
"73",77,1.77806313995425,0
"74",78,1.77572304021149,0
"75",79,1.79414699727609,0
"76",80,1.79033300769862,0
"77",81,1.79449812691749,0
"78",82,1.79263052511586,0
"79",83,1.78696245861219,0
"80",84,1.80813309016139,0
"81",85,1.79586247939232,0
"82",86,1.79752044772084,0
"83",87,1.79957387814756,0
"84",88,1.80595340727017,0
"85",89,1.8040948225276,0
"86",90,1.80869114324685,0
"87",91,1.8082922989541,0
"88",92,1.8096547519155,0
"89",93,1.80038687276236,0
"90",94,1.80677090492382,0
"91",95,1.81604620164877,0
"92",96,1.82888092333366,0
"93",97,1.83697867935253,0
"94",98,1.82146462810078,0
"95",99,1.82341280195939,0
"96",100,1.84045475227551,0
"97",101,1.8438927130252,0
"98",102,1.84706044061,0
"99",103,1.84012950646958,0
"100",104,1.8342532045731,0
"101",105,1.84416704044503,0
"102",106,1.84731320192982,0
"103",107,1.84832458347312,0
"104",108,1.82576763375012,0
"105",109,1.82600802538031,0
"106",110,1.82531236499576,0
"107",111,1.82538451492974,0
"108",112,1.8357770085804,0
"109",113,1.85111594830375,0
"110",114,1.84856945969148,0
"111",115,1.85374513651645,0
"112",116,1.84830952015222,0
"113",117,1.85123754548175,0
"114",118,1.85772156669954,0
"115",119,1.86553918431617,0
"116",120,1.85451643195872,0
"117",121,1.85575831011438,0
"118",122,1.86399279659837,0
"119",123,1.86210459280575,0
"120",124,1.86336841298351,0
"121",125,1.86465865460036,0
"122",126,1.88511731060106,0
"123",127,1.88183852123333,0
"124",128,1.87481929769119,0
"125",129,1.87790744274816,0
"126",130,1.88108390250606,0
"127",131,1.87752027963935,0
"128",132,1.88728852980845,0
"129",133,1.89850685534065,0
"130",134,1.91864872264436,0
"131",135,1.92406476372051,0
"132",136,1.92619450828086,0
"133",137,1.92781960703526,0
