"","weeks","lb_positive","ub_positive","fraction"
"1",5,0.152152873756964,0.305830452701116,0.166091456988622
"2",6,0.107695392789109,0.265108811238076,0.140372714774013
"3",7,0.110955740465366,0.291051200633434,0.11670226957337
"4",8,0.103151121317952,0.277892259927516,0.135211036694756
"5",9,0.0641298325821318,0.236464043220089,0.0749432907240843
"6",10,0.151719592154432,0.251363004505421,0.0875215131935746
"7",11,0.0987442330815868,0.201809526844745,0.0758445239725911
"8",12,0.0960342050940126,0.200818906430761,0.0636592532251359
"9",13,0.0564357045452644,0.179613927870492,0.0536785994512277
"10",14,0.0737649985038562,0.178954686337393,0.0693385450502589
"11",15,0.0622183002786682,0.162981415477,0.0602793331118488
"12",16,0.0638702860268555,0.2069319785871,0.0497766688452814
"13",17,0.0541494396565087,0.205201740366536,0.0482249254208459
"14",18,0.0573003811004645,0.197875657228339,0.0593833309595178
"15",19,0.0706745721467109,0.206256151103726,0.0624449631627036
"16",20,0.180964098932189,0.349294180601687,0.0797165682742266
"17",21,0.0862028374015965,0.163991616478996,0.0847515676355786
"18",22,0.08898264610566,0.209799267444043,0.0888039912249142
"19",23,0.103210682313415,0.236104944185284,0.100188079000398
"20",24,0.0764102662863504,0.224616482656974,0.112458544651586
"21",25,0.0764235623380915,0.209121838134224,0.105962610306562
"22",26,0.0726191057311327,0.186094891216558,0.107761100424647
"23",27,0.0913325140528607,0.231005656538608,0.0949866018347285
"24",28,0.070183885519789,0.207802032604448,0.0992914047199333
"25",29,0.0499889048318317,0.195768334644966,0.141439610440293
"26",30,0.0562998233512493,0.191251790981187,0.160952921832457
"27",31,0.0512658215391534,0.20904312516346,0.141338996317952
"28",32,0.0498457995979228,0.200749649378852,0.140495271274464
"29",33,0.0520842512204051,0.190624003019994,0.135536689352497
"30",34,0.0525061361183473,0.174337267674164,0.156274658882404
"31",35,0.0554569926792372,0.189887171609315,0.150261421971095
"32",36,0.0537767733466363,0.195316924133107,0.145934635617693
"33",37,0.0477325964604701,0.184302173871461,0.175081101084173
"34",38,0.0601777936355171,0.187448009218143,0.178984996193316
"35",39,0.0554275965843812,0.177127378581011,0.163678388650519
"36",40,0.0568746167299784,0.174727193875234,0.198165593194655
"37",41,0.0598419640221893,0.174397876870531,0.197643343899094
"38",42,0.0523815511137029,0.180282261451135,0.16178255639719
"39",43,0.0588504359201778,0.199289809267591,0.199389538308774
"40",44,0.0677665599177558,0.206783982292138,0.226235226359531
"41",45,0.056879413297554,0.190115864680491,0.207364111450412
"42",46,0.0526223236136657,0.167791462754121,0.192815126049975
"43",47,0.054686936031062,0.15885382978576,0.198755916254676
"44",48,0.0599577897697124,0.167204016037039,0.19368937072159
"45",49,0.0586797280036476,0.169560078991891,0.176854685086772
"46",50,0.0694415764423418,0.183746158823881,0.214836923170003
"47",51,0.0616733402423452,0.17888568314538,0.198249332909371
"48",52,0.0689280044454645,0.175903156798346,0.229484154413438
"49",53,0.054656612159902,0.155813100517837,0.195266793259609
"50",54,0.0600159249720142,0.150607669548959,0.211599215705468
"51",55,0.0482236387093888,0.129897096652872,0.232800644121803
"52",56,0.0522167986772905,0.143590110971033,0.209142539154382
"53",57,0.0451480016030274,0.129500556253016,0.229036634587091
"54",58,0.0502439860296085,0.132474647896439,0.246296406375884
"55",59,0.0544316079767815,0.14648939668871,0.266073288901212
"56",60,0.0553472380626533,0.137072983914406,0.299563994375749
"57",61,0.0581212910283027,0.139345102426803,0.31663738262647
"58",62,0.0558772009878445,0.12939548689433,0.300071067637608
"59",63,0.0478537590384362,0.13550713313425,0.29514970211704
"60",64,0.0589582064264699,0.159704753299618,0.337957567301158
"61",65,0.0564678972911905,0.151568532128286,0.313443578130517
"62",66,0.0564066357626968,0.141102588861029,0.338984404497556
"63",67,0.0459674252986844,0.140811380639607,0.303938382419349
"64",68,0.0495054792381117,0.137476035689285,0.333106383660584
"65",69,0.0503469823353784,0.139403528812277,0.344992064331694
"66",70,0.0557113149187557,0.135277322368108,0.343798442205754
"67",71,0.0578175298698469,0.145641600619926,0.377460516157484
"68",72,0.050346819594812,0.140907675819267,0.361456981365168
"69",73,0.0532140687108807,0.137918595796664,0.382002751190632
"70",74,0.0605419419645884,0.135336983928162,0.392143818107164
"71",75,0.0621498320591869,0.130958478827009,0.364339888250176
"72",76,0.060381780555921,0.132665076426635,0.370433485645135
"73",77,0.0652285272009202,0.136098554845119,0.381466690491248
"74",78,0.0588857250948588,0.130902232293365,0.425114081927017
"75",79,0.0555444641289252,0.127819393776355,0.461336130604962
"76",80,0.0514302341135272,0.133944768539789,0.396021009994798
"77",81,0.0597525992758661,0.132388756086676,0.422028697511888
"78",82,0.0637050908769707,0.140509407936806,0.464718031560131
"79",83,0.0634803682498005,0.135901852733798,0.514934634051521
"80",84,0.0587394781196918,0.131968710944131,0.498240798245136
"81",85,0.0521277804363908,0.123383277062651,0.472007684922692
"82",86,0.0559019289972641,0.131732245471248,0.51295463976199
"83",87,0.0557966842180405,0.124422288171988,0.477288557314526
"84",88,0.054961158081349,0.12007089247168,0.485734446495176
"85",89,0.0536046814889336,0.128787010333827,0.445607530216073
"86",90,0.0581731233379702,0.124946139062132,0.480262923284417
"87",91,0.0514244411045214,0.11973161090712,0.473563297779411
"88",92,0.0538758501073712,0.137090515370967,0.4439252785426
"89",93,0.0531185635520335,0.128332830818067,0.476279603865096
"90",94,0.0510468675193772,0.124124780282901,0.46276615495447
"91",95,0.0524352997624079,0.124606856155321,0.448696709447563
"92",96,0.0510239788913161,0.136078871456717,0.424812612777307
"93",97,0.0526713968383441,0.130568832198339,0.421660307328312
"94",98,0.0561515536750719,0.13135498693102,0.42742365347238
"95",99,0.0548081492524358,0.132515355240878,0.414217732295107
"96",100,0.0591386499979999,0.147208174780188,0.423907611805587
"97",101,0.0534390012477323,0.147949248103038,0.487316523671143
"98",102,0.0521097179403986,0.143069053053764,0.448853957531112
"99",103,0.0540507220871469,0.144220637670573,0.401128405710086
"100",104,0.0480348914675618,0.133344525230164,0.378471844628836
"101",105,0.0511967866983322,0.134059751990236,0.425689523189583
"102",106,0.0495425201846443,0.130033139475705,0.465386319417027
"103",107,0.0467706438600375,0.135595775458882,0.450698947015867
"104",108,0.0435193854645947,0.13818196195563,0.404517296699345
"105",109,0.0534598599047967,0.130745883953733,0.471811313146286
"106",110,0.048338636384056,0.131218816530472,0.428332797816896
"107",111,0.0507300342929955,0.139535051308809,0.476643174844162
"108",112,0.0487227558877079,0.128426554319163,0.452889134766823
"109",113,0.0511363610139594,0.129314411375185,0.517276604448125
"110",114,0.0491189496091778,0.130876308492623,0.484501609470655
"111",115,0.047412861478582,0.124696113692679,0.484875118058901
"112",116,0.055864959767676,0.13573854501375,0.498139599500617
"113",117,0.0562120120349599,0.132546221432503,0.470227645462384
"114",118,0.0579833425923629,0.137421379543193,0.494417751226053
"115",119,0.058478658719443,0.135966348591041,0.500196338897401
"116",120,0.0567198502814234,0.140796901886272,0.480121086509522
"117",121,0.0573619043736366,0.130400777484218,0.506520097401635
"118",122,0.057368400978175,0.129958615329483,0.518531536037933
"119",123,0.0519711975933886,0.129599109235038,0.490387558078465
"120",124,0.0527346363026865,0.138291877598892,0.431687184492091
"121",125,0.050882096510514,0.13332287308871,0.462912848427265
"122",126,0.0580360183050828,0.135286767358455,0.476280075053041
"123",127,0.0609806244639505,0.133579421437191,0.495487219289858
"124",128,0.0615391362253142,0.143400668853863,0.468172875519742
"125",129,0.0584127442650769,0.128077527055161,0.500102218948796
"126",130,0.0520373957137089,0.120761073419593,0.540614296304772
