"","VOUCH0","TEST_TAK","MATH","READING","WRITING","AGE2","SEX_NAME","MOM_SCH","MOM_AGE","DAD_SCH","DAD_AGE","DAREA4","DAREA5","DAREA6","DAREA7","DAREA11","DAREA15","DAREA16","DAREA17","DAREA18","DAREA19","MOM_SCH_IS_NA","MOM_AGE_IS_NA","DAD_SCH_IS_NA","DAD_AGE_IS_NA","SEX_IS_NA","STRATA1","STRATA2","STRATA3","STRATA4","STRATA5","STRATA6","DAD_MW","MOM_MW","DAD_MW_IS_NA","MOM_MW_IS_NA","TSITE1","TSITE2","TSITE3"
"35",1,1,-0.607385026243064,0.640632362613559,2.20036017595418,12,0,1,42,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"36",0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"37",0,1,-1.82215507872919,-1.05891758873491,-0.242103894725241,14,0,4,33,1,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"38",0,1,0,-1.05891758873491,-0.852719912395096,14,0,6,37,4,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"39",1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"40",0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"41",1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"42",0,0,0,0,0,11,1,11,33,11,37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA
"43",1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"44",0,0,0,0,0,11,1,7,35,11,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"45",0,0,0,0,0,13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"46",1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"47",1,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"48",1,1,0,0.39783951242092,0.97912814061447,13,1,2,39,6,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"49",1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"50",1,0,0,0,0,16,1,3,40,6,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
"51",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"52",1,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"53",1,0,0,0,0,11,0,5,28,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA
"54",0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"55",0,0,0,0,0,12,0,5,47,8,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"56",1,0,0,0,0,12,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"57",1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"58",0,0,0,0,0,14,0,6,42,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA
"59",0,0,0,0,0,12,1,5,36,7,36,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,NA,NA,NA
"60",0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"61",0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"62",0,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"63",0,0,0,0,0,15,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"64",0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"65",0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"66",0,0,0,0,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"67",1,0,0,0,0,12,1,7,58,5,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"68",1,1,1.01230837707177,-1.05891758873491,-0.242103894725241,11,0,5,37,5,38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"69",0,0,0,0,0,12,0,9,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA
"70",1,0,0,0,0,15,1,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA
"71",1,0,0,0,0,15,1,0,65,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,NA,NA,NA
"72",0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"73",1,0,0,0,0,12,0,5,42,3,38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"74",0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"75",0,0,0,0,0,13,1,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA
"76",1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"77",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"78",1,0,0,0,0,14,1,2,48,0,51,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,NA,NA,NA
"79",1,0,0,0,0,15,0,5,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,NA,NA,NA
"80",1,1,0.202461675414355,1.12621806299884,-0.547411903560169,14,1,0,48,1,58,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"81",0,0,0,0,0,14,1,11,38,11,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"82",1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"83",1,0,0,0,0,15,1,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"84",1,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"85",0,0,0,0,0,11,1,11,39,11,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"86",1,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"87",0,1,-0.202461675414355,-3.97243179104657,-2.07395194773481,16,1,1,48,0,46,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"88",1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"89",0,1,-0.607385026243064,-0.816124738542272,0.0632041141096868,11,0,9,35,11,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"90",0,0,0,0,0,11,0,8,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA
"91",0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"92",0,0,0,0,0,14,0,5,43,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"93",0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"94",1,0,0,0,0,14,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"95",1,1,-0.809846701657418,-0.330539038156995,-0.547411903560169,13,0,5,39,6,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"96",0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"97",1,0,0,0,0,14,1,9,41,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"98",0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"99",0,0,0,0,0,12,0,5,36,6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"100",1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"101",1,1,-1.21477005248613,1.12621806299884,-0.547411903560169,14,0,5,38,5,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"102",1,0,0,0,0,12,1,5,35,3,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"103",1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,NA,NA,NA
"104",0,0,0,0,0,11,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"105",1,0,0,0,0,12,1,9,40,8,49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,NA,NA,NA
"106",0,0,0,0,0,13,1,5,58,0,70,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA
"107",1,1,-1.41723172790048,-0.330539038156995,-1.46333593006495,14,1,9,35,9,41,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"108",1,0,0,0,0,12,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,NA,NA,NA
"109",0,0,0,0,0,16,1,5,42,3,55,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"110",0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"111",1,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"112",0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"113",1,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"114",1,0,0,0,0,12,0,4,47,3,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"115",1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"116",1,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"117",1,1,-1.01230837707177,-0.330539038156995,-0.852719912395096,14,0,1,45,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
"118",1,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"119",0,0,0,0,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"120",1,0,0,0,0,14,0,7,36,6,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"121",1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"122",1,1,-1.82215507872919,0.640632362613559,-0.242103894725241,14,1,7,42,1,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"123",1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"124",0,0,0,0,0,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"125",1,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"126",1,1,0.404923350828709,0.640632362613559,1.58974415828433,11,0,3,52,2,59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"127",1,0,0,0,0,13,1,5,33,7,42,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"128",1,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"129",1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"130",1,0,0,0,0,12,0,8,40,5,38,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA
"131",1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"132",1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"133",1,0,0,0,0,14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"134",0,1,-0.809846701657418,-1.30171043892755,-0.547411903560169,12,1,9,38,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
"135",0,0,0,0,0,13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"136",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"137",0,0,0,0,0,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"138",1,1,0.607385026243064,0.39783951242092,-0.547411903560169,12,0,4,31,5,45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"139",1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"140",1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"141",0,0,0,0,0,13,1,6,45,8,52,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"142",1,0,0,0,0,12,1,6,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,NA,NA,NA
"143",0,0,0,0,0,10,0,5,31,9,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA
"144",0,1,-1.01230837707177,-0.816124738542272,-0.547411903560169,16,0,5,47,2,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"145",0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"146",1,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"147",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"148",0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"149",1,1,0,0.39783951242092,0.673820131779542,13,0,5,38,5,65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"150",0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"151",0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"152",0,0,0,0,0,12,0,0,37,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"153",1,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"154",1,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
"155",0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA
